employee_id,age,years_experience,department,job_title,education_level,location,performance_rating,overtime_hours,projects_completed,salary
1,60,12,Sales,Junior,Bachelor,Austin,4.57,11,13,206928
2,50,9,Engineering,Manager,High School,Remote,3.52,9,10,332857
3,36,23,IT,Lead,PhD,Austin,2.45,8,7,515205
4,64,9,IT,Manager,Master,New York,4.96,2,0,419873
5,29,30,IT,Manager,Master,Chicago,1.75,0,5,490480
6,42,12,Operations,Junior,High School,Remote,3.09,13,5,73823
7,60,2,Operations,Senior,Bachelor,Boston,4.19,7,8,182184
8,40,33,Marketing,Lead,PhD,New York,1.0,17,8,652532
9,44,27,Marketing,Mid-Level,PhD,San Francisco,3.81,11,4,428129
10,32,18,Sales,Manager,Master,Boston,2.07,11,0,365493
11,32,22,Marketing,Manager,High School,Austin,1.68,9,11,310051
12,45,31,Engineering,Director,Bachelor,Seattle,2.1,3,13,932597
13,57,12,Engineering,Manager,Master,Remote,4.87,19,10,651758
14,61,32,IT,Senior,Master,Remote,4.57,4,0,320678
15,45,33,Finance,Mid-Level,Bachelor,San Francisco,1.86,7,6,370391
16,24,32,HR,Director,PhD,Austin,1.47,18,10,743875
17,43,4,Marketing,Junior,PhD,Seattle,2.46,5,10,185906
18,23,2,Sales,Lead,High School,Austin,3.37,15,3,177454
19,45,6,IT,Senior,Master,Austin,4.47,8,8,326651
20,51,23,Operations,Mid-Level,High School,Boston,4.86,10,2,168140
21,59,21,Engineering,Lead,PhD,San Francisco,4.0,2,14,958014
22,23,22,Engineering,Junior,Bachelor,San Francisco,3.4,13,5,322774
23,42,29,Engineering,Lead,PhD,Austin,1.57,4,8,560021
24,54,17,HR,Director,PhD,New York,1.3,5,3,456015
25,33,31,HR,Manager,Master,Chicago,3.38,0,4,365795
26,43,6,Marketing,Manager,PhD,Seattle,3.16,12,4,393062
27,46,32,Operations,Senior,High School,New York,4.38,8,12,347787
28,48,4,Sales,Lead,Bachelor,Boston,2.29,2,4,208979
29,63,27,HR,Manager,Master,Seattle,1.16,5,1,308021
30,49,7,Finance,Senior,Bachelor,Chicago,2.69,19,10,329492
31,37,14,HR,Senior,High School,New York,4.88,7,1,194537
32,36,3,Engineering,Director,High School,Seattle,4.18,3,14,517120
33,24,33,Sales,Senior,PhD,Remote,1.14,5,0,242313
34,58,4,Marketing,Junior,High School,San Francisco,4.5,11,13,183371
35,28,32,HR,Manager,PhD,New York,2.89,11,12,809320
36,42,4,Engineering,Manager,Master,Austin,2.46,6,0,274990
37,30,33,IT,Mid-Level,Bachelor,Boston,2.39,15,3,353757
38,60,25,Finance,Junior,PhD,New York,3.38,6,2,293374
39,39,0,Finance,Manager,PhD,Seattle,3.12,2,3,306012
40,25,3,IT,Director,Master,New York,3.63,12,10,730242
41,46,25,Marketing,Manager,High School,Seattle,3.29,19,11,532279
42,35,32,Marketing,Mid-Level,PhD,Chicago,1.58,8,14,409340
43,30,32,HR,Lead,High School,Austin,2.03,10,11,300117
44,47,7,Marketing,Lead,PhD,Remote,4.36,6,5,270111
45,23,19,Operations,Junior,High School,Chicago,3.65,14,10,147474
46,41,15,Operations,Senior,PhD,Remote,2.79,0,0,136172
47,49,20,Engineering,Mid-Level,Bachelor,Boston,1.73,1,7,277514
48,28,25,Engineering,Mid-Level,Bachelor,Boston,1.03,0,7,273821
49,29,22,Engineering,Manager,Bachelor,Seattle,2.25,14,6,603015
50,56,17,Operations,Director,PhD,Austin,1.22,3,11,403782
51,35,30,HR,Manager,High School,Chicago,2.93,3,14,373532
52,38,11,HR,Director,Master,Austin,4.29,13,10,503318
53,57,0,Marketing,Mid-Level,Master,Chicago,2.14,4,10,154544
54,61,8,HR,Senior,Master,Seattle,4.39,0,3,201862
55,25,2,Engineering,Lead,Bachelor,Seattle,3.82,14,7,396564
56,23,25,Sales,Junior,Bachelor,Seattle,1.5,6,8,190610
57,27,8,Engineering,Director,Bachelor,San Francisco,3.58,15,14,978243
58,63,15,Operations,Lead,High School,Austin,1.61,13,4,160230
59,25,23,IT,Junior,Bachelor,Remote,3.62,14,5,198130
60,50,13,Sales,Senior,High School,Boston,1.57,14,9,254078
61,39,2,Marketing,Mid-Level,High School,Chicago,2.57,19,7,144264
62,47,33,Finance,Senior,High School,San Francisco,3.27,0,4,343405
63,55,32,IT,Director,PhD,Boston,1.2,18,11,1288001
64,31,23,HR,Mid-Level,Master,Chicago,1.61,6,3,181936
65,57,8,HR,Manager,High School,San Francisco,2.28,17,7,299421
66,35,12,Operations,Junior,Master,Boston,2.85,14,13,203960
67,52,1,Engineering,Manager,High School,Boston,4.43,12,14,457876
68,36,6,Engineering,Mid-Level,High School,San Francisco,1.75,18,2,211590
69,29,20,Sales,Junior,Bachelor,Boston,2.39,17,14,296582
70,35,18,HR,Junior,Master,Chicago,2.9,3,5,151570
71,44,24,IT,Manager,High School,Remote,2.18,17,8,395807
72,61,21,Operations,Junior,Master,Chicago,3.5,3,5,142166
73,42,10,IT,Mid-Level,Bachelor,Boston,2.03,15,13,326876
74,37,32,Marketing,Director,High School,New York,4.09,13,8,708346
75,39,31,Engineering,Director,Bachelor,Seattle,3.02,13,7,967061
76,45,20,IT,Mid-Level,High School,San Francisco,1.35,6,11,301438
77,47,19,HR,Manager,Bachelor,New York,3.51,12,8,464107
78,46,7,Finance,Senior,Bachelor,Chicago,3.28,13,9,295281
79,62,8,Operations,Mid-Level,PhD,Boston,2.35,9,13,241865
80,50,24,Sales,Director,High School,Austin,1.04,12,8,405214
81,36,24,Engineering,Mid-Level,High School,Remote,1.8,5,7,205315
82,22,32,Engineering,Junior,High School,Austin,2.62,10,8,234665
83,46,1,Marketing,Junior,Master,Seattle,1.8,5,13,148443
84,28,18,Engineering,Mid-Level,PhD,New York,3.31,10,6,482886
85,30,19,Operations,Manager,Master,New York,3.85,18,6,488229
86,45,28,HR,Senior,High School,New York,4.42,16,10,397715
87,22,5,HR,Junior,PhD,Chicago,3.59,2,3,114328
88,29,16,HR,Director,Bachelor,Seattle,3.76,0,0,286268
89,45,24,Finance,Junior,PhD,Remote,3.43,15,14,348055
90,32,3,Finance,Director,Bachelor,Seattle,4.94,11,6,500617
91,38,29,Engineering,Senior,High School,Chicago,2.04,13,7,371354
92,29,19,IT,Junior,High School,Seattle,2.07,17,11,241575
93,56,2,Finance,Manager,Bachelor,Remote,1.51,2,8,193143
94,56,22,IT,Director,PhD,Boston,2.94,7,0,680421
95,54,17,IT,Junior,Master,Chicago,1.38,17,8,266711
96,26,25,Finance,Junior,PhD,Boston,2.08,15,14,427401
97,63,7,Marketing,Mid-Level,Bachelor,Boston,2.93,14,6,194400
98,60,16,Finance,Manager,Bachelor,New York,4.83,1,6,490648
99,62,30,Sales,Manager,Master,Austin,4.86,15,2,548812
100,49,32,Sales,Mid-Level,Master,Remote,3.97,9,0,234322
101,28,26,IT,Director,Master,New York,2.56,10,6,919430
102,30,3,Sales,Lead,Bachelor,Chicago,4.46,18,12,379605
103,29,21,Engineering,Senior,High School,San Francisco,4.5,18,9,593313
104,33,25,HR,Manager,PhD,Chicago,4.64,9,7,562854
105,55,31,Marketing,Lead,Master,Remote,3.56,16,5,412581
106,54,23,Engineering,Director,Bachelor,Austin,1.81,0,13,613782
107,44,34,HR,Senior,PhD,Chicago,1.36,6,6,346791
108,45,31,Marketing,Manager,Master,Austin,4.66,15,8,628516
109,58,6,IT,Junior,High School,San Francisco,1.22,10,7,152625
110,56,32,Marketing,Manager,PhD,San Francisco,2.18,17,13,1034657
111,61,30,Marketing,Senior,PhD,Seattle,2.95,0,4,355903
112,43,11,Sales,Lead,Bachelor,Boston,1.09,1,11,281187
113,48,10,Sales,Junior,Bachelor,Remote,4.63,1,10,136529
114,56,23,Sales,Senior,Bachelor,Chicago,2.15,5,3,243133
115,22,7,Marketing,Director,High School,Boston,1.11,7,10,312061
116,56,31,Operations,Senior,PhD,New York,4.97,19,3,479896
117,58,21,Marketing,Manager,Master,Remote,2.25,13,3,322317
118,35,33,Sales,Director,High School,New York,4.51,19,1,665542
119,24,18,Marketing,Mid-Level,Master,New York,2.81,7,9,309334
120,22,19,Sales,Mid-Level,Master,Seattle,3.65,16,9,395834
121,26,13,Sales,Junior,Bachelor,New York,1.96,4,6,158916
122,47,32,Sales,Senior,Master,New York,3.01,2,7,465300
123,35,9,IT,Lead,Master,Chicago,2.03,17,11,475654
124,60,15,IT,Junior,High School,Boston,4.8,9,6,199790
125,48,3,Operations,Director,Bachelor,Boston,1.24,3,13,277692
126,30,26,HR,Junior,Master,Austin,2.1,9,14,228313
127,36,27,Marketing,Manager,Master,New York,4.57,17,10,844256
128,36,15,Engineering,Director,Master,San Francisco,2.92,12,9,1034869
129,47,32,Sales,Lead,PhD,Austin,3.4,16,7,631984
130,63,18,Operations,Senior,PhD,Austin,3.61,13,10,329092
131,34,20,Engineering,Director,Bachelor,Chicago,1.28,18,10,765118
132,53,21,IT,Senior,High School,Austin,1.07,17,8,278041
133,60,8,HR,Senior,Bachelor,San Francisco,4.75,7,7,272259
134,53,8,Marketing,Junior,PhD,Boston,2.09,17,4,185286
135,25,8,IT,Manager,Bachelor,Austin,2.52,15,3,323836
136,51,26,Operations,Junior,High School,Chicago,3.73,10,4,123214
137,58,16,Sales,Mid-Level,Bachelor,Remote,1.95,16,11,230319
138,44,7,Sales,Mid-Level,Master,New York,3.93,17,10,352423
139,60,15,Sales,Senior,High School,San Francisco,2.83,18,14,424616
140,36,17,Operations,Manager,High School,New York,4.43,17,12,426907
141,64,32,IT,Director,High School,Seattle,2.11,13,0,521646
142,50,0,Engineering,Senior,Bachelor,Austin,1.82,16,4,200953
143,57,11,HR,Director,Bachelor,Boston,4.33,7,5,394388
144,34,5,Marketing,Senior,Master,Chicago,2.31,14,12,277644
145,53,4,HR,Junior,High School,Remote,2.65,16,8,83432
146,28,15,IT,Senior,Master,San Francisco,4.17,10,8,571337
147,43,17,Sales,Senior,High School,Boston,3.54,5,9,266426
148,49,17,HR,Manager,PhD,San Francisco,2.77,18,13,766427
149,23,0,Engineering,Manager,Bachelor,Chicago,2.0,15,11,390419
150,63,18,Finance,Director,Master,Chicago,4.06,11,2,603054
151,27,7,IT,Manager,Bachelor,Austin,1.72,14,12,401254
152,49,2,Finance,Senior,Bachelor,San Francisco,4.71,10,12,386998
153,49,24,Marketing,Manager,PhD,Seattle,1.6,6,10,556281
154,41,4,Marketing,Manager,PhD,Seattle,4.22,9,7,418525
155,51,18,HR,Lead,High School,Austin,2.7,18,7,232294
156,32,17,Marketing,Lead,PhD,San Francisco,1.74,4,8,455629
157,49,30,IT,Mid-Level,High School,San Francisco,2.61,16,14,500605
158,46,32,Operations,Junior,PhD,New York,1.89,18,0,199214
159,60,17,Engineering,Junior,PhD,Austin,1.54,3,4,194001
160,54,15,Sales,Manager,Master,San Francisco,1.96,0,4,391419
161,22,15,Sales,Mid-Level,PhD,San Francisco,4.47,13,6,439936
162,48,6,HR,Mid-Level,Master,Chicago,1.42,16,10,192336
163,34,13,Sales,Director,PhD,Remote,4.89,13,7,624881
164,62,24,HR,Lead,Master,New York,1.02,5,10,393432
165,24,31,Marketing,Mid-Level,Bachelor,Seattle,3.63,4,6,275093
166,60,21,Marketing,Senior,High School,Seattle,4.43,2,14,323116
167,27,15,Operations,Director,PhD,Chicago,4.74,14,5,537521
168,29,28,Operations,Manager,Master,Remote,1.58,6,3,241446
169,48,15,Engineering,Senior,PhD,Remote,3.79,10,14,523443
170,30,11,Sales,Junior,Master,Austin,1.43,9,8,154518
171,58,16,IT,Lead,Master,Seattle,2.41,13,1,406627
172,54,26,Operations,Senior,PhD,Austin,3.93,2,5,267259
173,63,24,Engineering,Manager,High School,San Francisco,2.38,13,9,674052
174,45,12,Finance,Senior,Master,Boston,2.25,16,5,356226
175,36,7,Operations,Senior,Bachelor,Remote,1.46,3,10,116154
176,53,4,Engineering,Mid-Level,PhD,Remote,1.27,5,3,181175
177,53,11,HR,Lead,Bachelor,Chicago,1.46,19,12,297188
178,45,2,HR,Junior,Master,Remote,4.5,4,2,83436
179,62,34,Engineering,Manager,Master,Austin,1.04,9,10,695808
180,33,32,Marketing,Director,PhD,Remote,3.77,6,13,808812
181,60,21,Finance,Director,High School,San Francisco,4.07,14,2,604090
182,23,8,Engineering,Manager,Bachelor,San Francisco,3.27,17,1,485280
183,24,17,Operations,Junior,High School,Chicago,3.92,0,2,82361
184,58,28,Marketing,Manager,Bachelor,Remote,3.61,3,3,286045
185,38,26,Engineering,Mid-Level,High School,Seattle,2.82,10,9,347963
186,23,16,Sales,Director,PhD,San Francisco,2.53,9,3,692654
187,23,33,Operations,Director,Bachelor,New York,4.77,12,13,839493
188,49,2,Operations,Senior,PhD,Seattle,4.89,18,9,306182
189,44,4,HR,Mid-Level,High School,Boston,3.61,9,13,170172
190,58,13,Sales,Director,High School,Chicago,1.79,17,14,510433
191,53,2,Sales,Mid-Level,High School,Chicago,2.79,8,6,124996
192,54,22,Operations,Mid-Level,PhD,Chicago,2.99,8,3,212410
193,22,29,Finance,Junior,Master,San Francisco,4.03,19,8,475536
194,40,22,IT,Director,Master,San Francisco,3.67,11,7,1070402
195,23,26,Marketing,Lead,Bachelor,Chicago,3.06,13,0,288741
196,47,9,HR,Junior,PhD,Chicago,3.72,1,9,163180
197,53,24,Sales,Junior,PhD,New York,1.1,9,0,197036
198,27,12,HR,Mid-Level,PhD,Austin,4.11,17,12,311596
199,53,15,Operations,Lead,High School,Seattle,1.85,5,5,181382
200,25,33,Marketing,Junior,PhD,Seattle,3.63,1,3,252081
201,32,21,Engineering,Lead,Master,New York,1.46,16,9,696540
202,38,16,Sales,Director,Bachelor,Chicago,1.46,17,5,464878
203,59,22,Marketing,Mid-Level,Master,Remote,1.14,17,8,237630
204,45,8,IT,Junior,PhD,San Francisco,4.64,13,9,383542
205,26,1,HR,Lead,Bachelor,San Francisco,3.42,10,4,227461
206,55,31,Operations,Manager,Bachelor,Chicago,2.45,18,7,417027
207,27,21,Marketing,Junior,PhD,Austin,4.15,15,1,200795
